VMA;lat;lon
130;46.38436;-0.36723
130;47.739045;3.731561
110;48.3351;6.8941
110;48.99326;1.193836
130;45.370988;5.491938
130;48.26498;1.85251
90;43.512;5.45668
130;48.192203;0.830547
110;47.27503;-1.54031
130;48.176329;5.730118
110;42.689842;2.826943
110;48.101714;-1.436677
110;48.3295;4.1133
130;48.3647;4.16042
130;45.469651;5.4011
110;42.6081;2.98456
130;48.27298;3.8951
110;48.011707;-1.59979
110;48.460773;6.24245
110;42.706584;2.987414
130;49.85744;2.41556
110;48.7129;2.308
110;45.58921;4.81075
130;46.464858;4.878883
110;47.773558;7.362957
110;47.958419;7.308257
110;46.085752;6.088236
110;48.434486;-2.817417
130;45.097643;0.482946
110;48.790311;2.070456
110;43.740074;-1.035058
110;43.721155;-1.12237
110;46.049706;6.080695
110;47.773536;7.362936
110;47.95778;7.30806
110;48.610522;-3.276339
110;48.853662;1.179271
110;48.86851;1.17674
110;50.96761;2.39794
;43.138451;6.040699
130;47.086;5.4204
130;46.0038;4.73286
110;48.038988;-4.076303
110;48.518535;-4.045053
110;43.434178;-1.48914
130;45.616445;5.896973
110;46.972338;-0.807677
110;48.341;6.3139
110;47.905;-1.6849
130;47.116119;-0.826199
110;49.30515;2.45288
110;48.548;-3.4115
110;48.416;-2.308
110;48.51575;-2.03866
110;49.138;1.182
110;43.857986;-0.722169
110;43.85137;-0.738436
110;47.671;-2.9395
110;48.509;0.3452
110;44.883648;-0.333458
110;47.156;-1.3227
110;48.832194;2.154142
130;49.534;4.4246
130;48.656155;4.17437
90;48.423793;2.140934
90;48.485161;2.194555
70;46.827144;-0.423377
90;43.664306;4.63362
90;43.667701;4.627957
110;50.328517;2.875154
130;44.570861;1.51206
110;48.673921;2.342725
130;43.173348;0.975433
130;43.173501;0.97557
110;50.734976;1.708429
110;45.45964;4.486546
130;43.7002;1.56839
130;45.863614;5.149564
110;50.466852;2.831789
110;48.452403;6.234787
90;43.948803;4.772449
90;47.32235;-2.1864
90;47.4634;-0.51692
110;47.33027;-1.65035
110;46.75917;-1.43079
90;49.3479;6.16564
90;49.34809;6.16465
90;43.58975;1.12689
90;43.56071;3.96186
110;44.043481;4.135386
110;43.96456;4.22473
130;43.790804;4.30207
130;43.7884;4.29921
110;47.44073;-2.07799
110;47.40608;-1.64297
90;47.4343;-0.50794
90;48.01028;0.17143
130;48.05189;-0.46444
90;43.99928;1.364538
130;48.05751;0.23942
130;43.19748;1.63099
110;47.25249;-1.67926
90;47.49607;-0.56398
90;47.49184;-0.595
110;48.97626;1.72154
90;43.60012;3.91789
70;48.997626;2.080437
110;43.451754;5.301697
110;48.814921;2.060788
90;49.748722;4.70325
110;47.336664;4.955637
70;47.940951;1.888195
130;46.816766;1.62272
90;45.162445;5.75387
110;48.21978;-3.99181
110;44.993;4.99031
110;46.17674;5.921
90;48.201777;1.395611
130;46.75071;1.62776
90;45.66007;6.38074
90;45.577678;5.919683
110;47.624023;6.861885
70;45.78817;4.78431
110;48.745194;1.283305
90;45.34126;4.25068
130;46.42787;1.47462
110;48.745444;1.282611
130;47.09909;1.86836
90;45.574978;4.717588
130;47.406906;6.475358
90;45.663127;6.393159
110;48.751092;7.164505
110;45.698461;1.360661
